PostingID,drug_cui
3418,C1948374
3419,C1948374
3420,C1948374
3421,C1948374
3422,C1948374
3423,C1948374
3424,C1948374
3424,C2935023
3425,C1948374
3425,C2935023
3426,C1948374
3426,C2935023
3427,C1948374
3427,C2935023
3428,C1948374
3428,C2935023
3429,C1948374
3429,C3700389
3430,C1099664
3431,C1099664
3441,C0379200
3442,C0022625
3443,C0064636
3444,C0064636
3445,C1703334
3446,C1703334
3447,C1703334
3448,C1703334
3450,C0244821
3451,C0244821
3452,C0289313
3453,C0289313
3454,C0289313
3455,C0289313
3456,C0289313
3457,C0289313
3458,C0025598
3458,C0289313
3459,C0025598
3459,C0289313
3460,C0025598
3460,C0289313
3461,C0025598
3461,C0289313
3462,C0025598
3462,C0289313
3463,C0001927
3464,C0001927
3465,C0001927
3466,C0073992
3467,C0073992
3468,C0073992
3472,C0075632
3473,C0075632
3474,C0027396
3474,C0075632
3475,C0027396
3475,C0075632
3476,C0027396
3476,C0075632
3477,C0027396
3477,C0075632
3478,C0027396
3478,C0075632
3479,C0027396
3479,C0075632
3480,C0027396
3480,C0075632
3481,C0027396
3481,C0075632
3482,C0027396
3482,C0075632
3483,C0027396
3483,C0075632
3484,C0027396
3484,C0075632
3485,C0027396
3485,C0075632
3486,C0027396
3486,C0075632
3487,C0027396
3487,C0075632
3488,C0027396
3488,C0075632
3489,C0027396
3489,C0075632
3490,C0027396
3490,C0075632
3491,C0027396
3491,C0075632
3492,C0027396
3492,C0075632
3493,C0027396
3493,C0075632
3494,C0027396
3494,C0075632
3495,C0027396
3495,C0075632
3496,C0027396
3496,C0075632
3497,C0879399
3498,C0879399
3499,C0879399
35,C1948374
3500,C0879399
3501,C0879399
3502,C0879399
3503,C2935023
3503,C3709474
3510,C1509436
3516,C0051696
3516,C0126174
3517,C0005088
3517,C0036079
3518,C0065767
3519,C0065767
3520,C0065767
3535,C0073992
3535,C0117996
3536,C1099664
3537,C0025598
3537,C0061323
3591,C0064636
36,C1948374
3606,C0379200
3607,C0379200
3608,C0064636
3610,C0068334
3611,C0540623
3612,C0540623
3613,C1532673
3614,C1532673
3615,C1532673
3616,C1532673
3617,C1532673
3618,C1532673
3619,C1532673
3620,C1532673
3621,C0033429
3622,C0530684
3626,C0879399
3627,C0879399
3628,C0879399
3629,C0879399
3630,C0879399
3631,C0879399
3634,C2986924
3635,C2986924
3636,C2986924
3637,C0051696
3637,C0126174
3638,C0005088
3638,C0036079
3652,C0012265
3663,C0209738
3664,C0209738
3665,C0209738
3666,C0209738
3667,C0209738
3668,C0209738
3671,C2935023
3671,C3709474
3672,C2935023
3672,C3700388
3672,C3709474
369,C0754659
3690,C2986924
3691,C2986924
37,C1948374
370,C0754659
3701,C2607479
3702,C2607479
3703,C0005088
3703,C0008947
3704,C0005088
3704,C0055881
3705,C0085208
3706,C0054836
371,C0754659
3711,C1948374
3712,C1948374
3713,C0073992
3713,C0117996
3714,C0073992
3714,C0117996
372,C1948374
372,C2935023
373,C1948374
3731,C0073992
3732,C0073992
3733,C0075632
3734,C2935023
3734,C3709474
3735,C0249458
374,C1948374
375,C1948374
376,C1948374
3767,C1135135
377,C1948374
3776,C0061323
3776,C0286651
3777,C0065767
3779,C0754659
378,C1948374
3780,C1948374
3780,C2935023
3781,C1948374
3781,C2935023
3782,C1948374
3782,C2935023
3783,C1948374
3783,C2935023
3784,C0073992
3784,C0117996
379,C1948374
3790,C0064636
3791,C0969324
3792,C0969324
3793,C0969324
3794,C0969324
3795,C0969324
3796,C0074554
3796,C0289313
3797,C0074554
3797,C0289313
3798,C0879399
3799,C0879399
38,C1948374
380,C1948374
3800,C2935023
3800,C3709474
3801,C2935023
3801,C3709474
3802,C2935023
3802,C3709474
381,C1948374
382,C1948374
